Product_Name,Brand,Category,Status,Price_RM,Rating,Comment,Comment_num
LG SN8Y 440W 3.1.2ch Hi-Res Dolby Atmos Sound Bar with Meridian Technology LG-SN8Y,LG,Audio,OUT OF STOCK,2299.0,0.0,-,0
Haier 50-Inch UHD TV LE50B9600U,Haier,TV,OUT OF STOCK,1599.0,4.0,['Pros :\nGot 3 hdmi\nGood service by senheng\n\nCons :\nIt is actually 49 inch screen\nThe color slightly run when you watch from side of the tv. The human skin color turn to yellowish\nNot much adjustment on the screen color & etc\nSounds setting not much to control. Cant control the bass & etc'],1
Sharp 60 Inch 4K UHD TV Wide Colour DVB-T2X4 Master Engine Pro II SHP-4TC60CH1X,Sharp,TV,AVAILABLE,2288.0,0.0,-,0
LG UN73 Series 50” 4K Active HDR Smart UHD TV with AI ThinQ® ( 2020) LG-50UN7300,LG,TV,AVAILABLE,2199.0,5.0,"['ðŸ¤©ðŸ¤©ðŸ¤©#31Anniversary,#SenhengKOC', 'Extra warranty at senheng#31Anniversary,#SenhengKOC', 'I already have OLED Tv and I got it for my bedroom. Very good quality and even compared to OLED quite convinced considering its price. Always LG Tv is highly recommended. Better operated than price.', ""Great price, amazing picture, and really good sound for built-in speakers. I'm very happy with this purchase!\nWe are so pleased with this TV and it has exceeded our expectations in quality, performance, features, and usability. I would definitely recommend this TV.""]",4
LG NANO81 65’’ NanoCell TV 4K with AI ThinQ® (2020),LG,TV,AVAILABLE,6599.0,5.0,"[""Find out that the picture is very satisfying. This TV caught my attention. Very thin TV . It was unbelievably lightweight and very well built. Mounting the TV to the wall was easy. My family loves the easy platform's to access the applications they want. This is a must buy and looking to buy again. You get what you pay for and Im happy with my purchase. My favorite part is the screen saving display. It has become a good focal point with music you can play. I started using the tv for gaming and live streaming for xbox. It has amazing color for games!!"", 'I am amazed by the picture quality of this TV. The colors are vivid and the picture is crisp and clear. The sound is so impressive. It keeps up with fast-paced actions like sports without lagging or getting blurry. It was simple to set up right out of the box. The instructions were easy to read. It includes a magic remote that you can use a mic to talk into that tells the TV what to do. That is a really helpful feature. I definitely recommend this TV.']",2
TCL 40-inch FHD AI SMART TV 40S6800,TCL,TV,OUT OF STOCK,1139.0,0.0,-,0
Sony In-Ear Headphones (White) - SNY-MDR-EX15APWZE,Sony,Audio,OUT OF STOCK,50.0,0.0,-,0
Sony Headphones ZX110 (Pink),Sony,Audio,OUT OF STOCK,50.0,0.0,-,0
Beats Solo3 Wireless On-Ear Headphones Beats Pop Collection Pop Violet BTS-MRRJ2PA/A,Beats,Audio,OUT OF STOCK,1179.0,0.0,-,0
Sony MUTEKI High Power Audio System SNY-MHCV90,Sony,Audio,AVAILABLE,2899.0,0.0,-,0
